Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-06 16,0.0282127291116941,0.6,0.5943684270044104,0.0008664262266918645
2022-12-06 17,0.026015445245797,0.6,0.5943684270044104,0.00036979446525019086
2022-12-06 18,0.027313179303287,0.6,0.5943684270044104,0.000625741514342498
2022-12-06 19,0.0289385672613478,0.6,0.5943684270044104,0.0011039202524072416
2022-12-06 20,0.0348164696378014,0.6,0.5943684270044104,0.004806590132933346
2022-12-06 21,0.0315284577091136,0.6,0.5943684270044104,0.0023167928789893442
2022-12-06 22,0.0252187945907871,0.6,0.5943684270044104,0.00025770074395935097
2022-12-06 23,0.030489608280049,0.6,0.5943684270044104,0.0017571652366281476
2022-12-07 00,0.0271149584575041,0.6,0.5943684270044104,0.0005800655848507113
2022-12-07 01,0.033093240525807,0.6,0.5943684270044104,0.0033610809959470833
2022-12-07 02,0.0382346014676174,0.6,0.5943684270044104,0.008614671868580536
2022-12-07 03,0.0364728225684976,0.6,0.5943684270044104,0.006496089232847962
2022-12-07 04,0.0309563364597681,0.6,0.5943684270044104,0.001995883795077836
2022-12-07 05,0.0426808200416116,0.8999999999999999,0.8915526405066154,0.004912335685332775
2022-12-07 06,0.0277282786907456,0.6,0.5943684270044104,0.0007298053789527089
2022-12-07 07,0.0470951700442991,0.8999999999999999,0.8915526405066154,0.009057988382798119
2022-12-07 08,0.03223849357788,0.6,0.5943684270044104,0.002759827445352594
2022-12-07 09,0.0257477368175992,0.6,0.5943684270044104,0.00032868207297393967
2022-12-07 10,0.0263079282045667,0.6,0.5943684270044104,0.0004190008160781574
2022-12-07 11,0.0211917823349063,0.3,0.2971842135022052,0.0014637817277281292
2022-12-07 12,0.0232680224485888,0.3,0.2971842135022052,0.003100495642293656
2022-12-07 13,0.0320560213866893,0.6,0.5943684270044104,0.002641151859365443
2022-12-07 14,0.0251816241001071,0.6,0.5943684270044104,0.0002531946794637303
2022-12-07 15,0.0307274190952853,0.6,0.5943684270044104,0.0018762515030099369
2022-12-07 16,0.0254746586572156,0.6,0.5943684270044104,0.0002904011928255139
2022-12-07 17,0.0233920305501403,0.3,0.2971842135022052,0.003224051707605188
2022-12-07 18,0.0278257534409453,0.6,0.5943684270044104,0.0007559505340290134
2022-12-07 19,0.022075154840087,0.3,0.2971842135022052,0.0020632511065136186
2022-12-07 20,0.0203747444772355,0.3,0.2971842135022052,0.0010264221846735327
2022-12-07 21,0.0265323950723029,0.6,0.5943684270044104,0.0004599573122175095
2022-12-07 22,0.0245379143583022,0.3,0.2971842135022052,0.004510272824031472
2022-12-07 23,0.027635875413296,0.6,0.5943684270044104,0.0007056296260239501
2022-12-08 00,0.0275134689306492,0.6,0.5943684270044104,0.0006745037160221327
2022-12-08 01,0.038790528193208,0.6,0.5943684270044104,0.00935052972528237
2022-12-08 02,0.0211379791666236,0.3,0.2971842135022052,0.0014316399626816624
2022-12-08 03,0.0210866667329655,0.3,0.2971842135022052,0.00140143775748723
2022-12-08 04,0.0232073554462098,0.3,0.2971842135022052,0.0030411479463218812
2022-12-08 05,0.0281815164809553,0.6,0.5943684270044104,0.0008571120057014543
2022-12-08 06,0.0289749415950553,0.6,0.5943684270044104,0.0011169086121713837
2022-12-08 07,0.0306276319035716,0.6,0.5943684270044104,0.001825642266295064
2022-12-08 08,0.0281840961833069,0.6,0.5943684270044104,0.0008578790947294863
2022-12-08 09,0.0213816970349657,0.3,0.2971842135022052,0.0015811538939792436
2022-12-08 10,0.0236592229217278,0.3,0.2971842135022052,0.0035005704127489302
2022-12-08 11,0.0264853354287392,0.6,0.5943684270044104,0.00045113435217890893
2022-12-08 12,0.0244347661646698,0.3,0.2971842135022052,0.004383720961266524
2022-12-08 13,0.0251946210242113,0.6,0.5943684270044104,0.00025476335333248466
2022-12-08 14,0.0331873570967838,0.6,0.5943684270044104,0.003431912865525485
2022-12-08 15,0.0265972935257277,0.6,0.5943684270044104,0.00047233408247450204
2022-12-08 16,0.0319370414515816,0.6,0.5943684270044104,0.0025655770954881307
2022-12-08 17,0.0234318319926737,0.3,0.2971842135022052,0.0032643489027237398
2022-12-08 18,0.0251463447093944,0.6,0.5943684270044104,0.00024897382104311364
2022-12-08 19,0.0238546391385472,0.3,0.2971842135022052,0.0037117701949255996
2022-12-08 20,0.0237756889985325,0.3,0.2971842135022052,0.00362552850583875
2022-12-08 21,0.0364777693160656,0.6,0.5943684270044104,0.006501576588843711
2022-12-08 22,0.0229671279759938,0.3,0.2971842135022052,0.0028131892599631216
2022-12-08 23,0.040595042150537,0.6,0.5943684270044104,0.011953259603924599
2022-12-09 00,0.0227310857660552,0.3,0.2971842135022052,0.002600070030551902
2022-12-09 01,0.0309571255745656,0.6,0.5943684270044104,0.0019963047557758156
2022-12-09 02,0.0201288406697992,0.3,0.2971842135022052,0.000915128996671812
2022-12-09 03,0.023321161959986,0.3,0.2971842135022052,0.003153071790640815
2022-12-09 04,0.0267559247545803,0.6,0.5943684270044104,0.0005036243003186178
2022-12-09 05,0.024052341112998,0.3,0.2971842135022052,0.003933189441231368
2022-12-09 06,0.0234447401835655,0.3,0.2971842135022052,0.0032774848881473068
2022-12-09 07,0.030999264286752,0.6,0.5943684270044104,0.002018870052431469
2022-12-09 08,0.0295765961567432,0.6,0.5943684270044104,0.0013475301294156687
2022-12-09 09,0.0377359950912249,0.6,0.5943684270044104,0.007981906049101406
2022-12-09 10,0.0315859179841565,0.6,0.5943684270044104,0.002350782038706366
2022-12-09 11,0.0243828454070383,0.3,0.2971842135022052,0.004320829833081074
2022-12-09 12,0.0289637596804239,0.6,0.5943684270044104,0.0011129044856071993
2022-12-09 13,0.0281213956866548,0.6,0.5943684270044104,0.0008393732824321488
2022-12-09 14,0.0289280801300171,0.6,0.5943684270044104,0.0011001953307743619
2022-12-09 15,0.0248361624333742,0.3,0.2971842135022052,0.004888247715008786
2022-12-09 16,0.0294821150068179,0.6,0.5943684270044104,0.0013093085512359034
2022-12-09 17,0.0287643482662661,0.6,0.5943684270044104,0.0010431784112440187
2022-12-09 18,0.0233650385145766,0.3,0.2971842135022052,0.003196900881304004
2022-12-09 19,0.0339669058302516,0.6,0.5943684270044104,0.0040544576425385614
2022-12-09 20,0.0322474222088285,0.6,0.5943684270044104,0.0027657208908542946
2022-12-09 21,0.0319795138877341,0.6,0.5943684270044104,0.002592392033193993
2022-12-09 22,0.0302264318659982,0.6,0.5943684270044104,0.0016314436797142731
2022-12-09 23,0.0268054833172943,0.6,0.5943684270044104,0.0005137064894196198
2022-12-10 00,0.024687025837742,0.3,0.2971842135022052,0.004697004076960065
2022-12-10 01,0.0272071925557304,0.6,0.5943684270044104,0.00060100435721455
2022-12-10 02,0.0331326392782016,0.6,0.5943684270044104,0.0033906196564542153
2022-12-10 03,0.0218372774165262,0.3,0.2971842135022052,0.001888215614364562
2022-12-10 04,0.0334043750092318,0.6,0.5943684270044104,0.0035987792467359813
2022-12-10 05,0.0183309187373262,0.3,0.2971842135022052,0.0003455093106761153
2022-12-10 06,0.0323639105973507,0.6,0.5943684270044104,0.002843352764336734
2022-12-10 07,0.0235801494663847,0.3,0.2971842135022052,0.0034172660344569277
2022-12-10 08,0.0259785395216749,0.6,0.5943684270044104,0.0003639085945397567
2022-12-10 09,0.0369887781500646,0.6,0.5943684270044104,0.007082517406923062
2022-12-10 10,0.0299290477365525,0.6,0.5943684270044104,0.001496901519034277
2022-12-10 11,0.0211389189667741,0.3,0.2971842135022052,0.00143219722704654
2022-12-10 12,0.019548669789841,0.3,0.2971842135022052,0.0006868494624327422
2022-12-10 13,0.0214106112951527,0.3,0.2971842135022052,0.0015995645060690343
2022-12-10 14,0.0222326128261901,0.3,0.2971842135022052,0.002184795098087285
2022-12-10 15,0.021631864989793,0.3,0.2971842135022052,0.0017452467328578846
2022-12-10 16,0.0246081361321437,0.3,0.2971842135022052,0.004597653100703933
2022-12-10 17,0.0245553589741008,0.3,0.2971842135022052,0.004531887275104279
2022-12-10 18,0.0213418272754799,0.3,0.2971842135022052,0.0015560032316044323
2022-12-10 19,0.0218570425007937,0.3,0.2971842135022052,0.0019023695423284975
2022-12-10 20,0.0307153251925319,0.6,0.5943684270044104,0.001870068302105366
2022-12-10 21,0.0277054520938308,0.6,0.5943684270044104,0.0007237783552941354
2022-12-10 22,0.0270399271903943,0.6,0.5943684270044104,0.0005634304864996022
2022-12-10 23,0.0279784165178847,0.6,0.5943684270044104,0.0007982450450015342
2022-12-11 00,0.0262294448750544,0.6,0.5943684270044104,0.0004053435611948267
2022-12-11 01,0.037730040006119,0.6,0.5943684270044104,0.007974505573834764
2022-12-11 02,0.028664153601049,0.6,0.5943684270044104,0.0010093327449242442
2022-12-11 03,0.0248253830510733,0.3,0.2971842135022052,0.004874274623656968
2022-12-11 04,0.0281889018027748,0.6,0.5943684270044104,0.0008593093807384481
2022-12-11 05,0.0408633361996001,0.6,0.5943684270044104,0.012367315499029361
2022-12-11 06,0.0191499718233977,0.3,0.2971842135022052,0.0005559329857710934
2022-12-11 07,0.0228942617062532,0.3,0.2971842135022052,0.0027462556377818494
2022-12-11 08,0.0270827210206392,0.6,0.5943684270044104,0.0005728747578444597
2022-12-11 09,0.0220251248888321,0.3,0.2971842135022052,0.0020255846115863336
2022-12-11 10,0.0321796269576103,0.6,0.5943684270044104,0.0027211741466056493
2022-12-11 11,0.0246797219786459,0.3,0.2971842135022052,0.004687753178150082
2022-12-11 12,0.0301912580943,0.6,0.5943684270044104,0.0016151174949949716
2022-12-11 13,0.0244957068617837,0.3,0.2971842135022052,0.00445822983045341
2022-12-11 14,0.0227976604209871,0.3,0.2971842135022052,0.002659095929696654
2022-12-11 15,0.0259324050986236,0.6,0.5943684270044104,0.0003566502396893602
2022-12-11 16,0.0231788815527264,0.3,0.2971842135022052,0.0030135413674356086
2022-12-11 17,0.0196094816595089,0.3,0.2971842135022052,0.0007086149514373861
2022-12-11 18,0.0207469973342944,0.3,0.2971842135022052,0.0012124376521487114
2022-12-11 19,0.0226197117131626,0.3,0.2971842135022052,0.0025032159150419012
2022-12-11 20,0.0280481890854495,0.6,0.5943684270044104,0.0008181302258668724
2022-12-11 21,0.0238941347765464,0.3,0.2971842135022052,0.003755379821923946
2022-12-11 22,0.0221494448837807,0.3,0.2971842135022052,0.0021200280275801365
2022-12-11 23,0.0345853004864338,0.6,0.5943684270044104,0.004594271695650074
2022-12-12 00,0.0279465074385985,0.6,0.5943684270044104,0.0007892676108688898
2022-12-12 01,0.0262397926448643,0.6,0.5943684270044104,0.0004071249191970202
2022-12-12 02,0.0375325096415416,0.6,0.5943684270044104,0.00773114210926699
2022-12-12 03,0.0272886633831879,0.6,0.5943684270044104,0.0006199546654975823
2022-12-12 04,0.0203875195399138,0.3,0.2971842135022052,0.0010324514536874264
2022-12-12 05,0.0292134246171996,0.6,0.5943684270044104,0.0012047278759100843
2022-12-12 06,0.0287117773355248,0.6,0.5943684270044104,0.0010253217982556372
2022-12-12 07,0.0241146174847791,0.3,0.2971842135022052,0.004004556211471931
2022-12-12 08,0.0263077153820453,0.6,0.5943684270044104,0.0004189633237630252
2022-12-12 09,0.0231311354935802,0.3,0.2971842135022052,0.0029676047152038115
2022-12-12 10,0.0214688730688087,0.3,0.2971842135022052,0.0016370999455333568
2022-12-12 11,0.0302805583307252,0.6,0.5943684270044104,0.0016567852856438383
2022-12-12 12,0.0215439970572749,0.3,0.2971842135022052,0.0016863684971729455
2022-12-12 13,0.0339663141774874,0.6,0.5943684270044104,0.004053960731169314
2022-12-12 14,0.023811549492757,0.3,0.2971842135022052,0.003664547015889166
2022-12-12 15,0.0260982720262717,0.6,0.5943684270044104,0.000383263982188885
2022-12-12 16,0.0316034754073388,0.6,0.5943684270044104,0.002361232479235189
2022-12-12 17,0.0265831232966279,0.6,0.5943684270044104,0.00046961085480576943
2022-12-12 18,0.0321443262525547,0.6,0.5943684270044104,0.0026981630770066324
2022-12-12 19,0.0286953443745419,0.6,0.5943684270044104,0.0010197845911315384
2022-12-12 20,0.0242023584247182,0.3,0.2971842135022052,0.0041064238339342295
2022-12-12 21,0.036558106098615,0.6,0.5943684270044104,0.0065910597113669565
2022-12-12 22,0.0269208075529393,0.6,0.5943684270044104,0.0005377436268674744
2022-12-12 23,0.0330206893162813,0.6,0.5943684270044104,0.0033071108094416355
2022-12-13 00,0.0541047637033728,0.8999999999999999,0.8915526405066154,0.018387732835344308
2022-12-13 01,0.0301822705894732,0.6,0.5943684270044104,0.0016109637604580002
2022-12-13 02,0.0352587208620829,0.6,0.5943684270044104,0.0052287939933929484
2022-12-13 03,0.0272191685823933,0.6,0.5943684270044104,0.0006037631084717392
2022-12-13 04,0.0265396079353874,0.6,0.5943684270044104,0.0004613208516558067
2022-12-13 05,0.0278927772339633,0.6,0.5943684270044104,0.0007743152465179302
2022-12-13 06,0.0278909219153846,0.6,0.5943684270044104,0.0007738026058690449
2022-12-13 07,0.0326564048297002,0.6,0.5943684270044104,0.0030443923256936243
2022-12-13 08,0.0346901426372726,0.6,0.5943684270044104,0.004689853053558675
2022-12-13 09,0.0287126003700637,0.6,0.5943684270044104,0.0010255996824390676
2022-12-13 10,0.0212615510995986,0.3,0.2971842135022052,0.0015061878656733615
2022-12-13 11,0.024049919821012,0.3,0.2971842135022052,0.0039304304042357355
2022-12-13 12,0.0225802965234524,0.3,0.2971842135022052,0.0024695042313309357
2022-12-13 13,0.0318078132623122,0.6,0.5943684270044104,0.0024850984833683226
2022-12-13 14,0.0255653260520676,0.6,0.5943684270044104,0.0003027144251914113
2022-12-13 15,0.0372658769271523,0.6,0.5943684270044104,0.007409161928786436
2022-12-13 16,0.0228425083448159,0.3,0.2971842135022052,0.002699337483205406
2022-12-13 17,0.0264952561018988,0.6,0.5943684270044104,0.0004529837760012346
2022-12-13 18,0.0206351189386027,0.3,0.2971842135022052,0.0011542571106513493
2022-12-13 19,0.0208196399048925,0.3,0.2971842135022052,0.0012512821941120915
2022-12-13 20,0.0277087777105723,0.6,0.5943684270044104,0.0007246541884211041
2022-12-13 21,0.0213387918499265,0.3,0.2971842135022052,0.0015540995863515387
2022-12-13 22,0.0474765138447778,0.8999999999999999,0.8915526405066154,0.00948223058889581
2022-12-13 23,0.0526590559077461,0.8999999999999999,0.8915526405066154,0.01621439007175947
2022-12-14 00,0.0236985005291886,0.3,0.2971842135022052,0.0035424106738367947
2022-12-14 01,0.0214225231271768,0.3,0.2971842135022052,0.0016071910469779348
2022-12-14 02,0.0359048379691846,0.6,0.5943684270044104,0.005883485012968273
2022-12-14 03,0.0202590493739371,0.3,0.2971842135022052,0.0009729394273071063
2022-12-14 04,0.0299413148396811,0.6,0.5943684270044104,0.0015022958371337007
2022-12-14 05,0.0304769601625146,0.6,0.5943684270044104,0.001750978191567948
2022-12-14 06,0.0312360650699409,0.6,0.5943684270044104,0.002148835341996918
2022-12-14 07,0.0348103262852842,0.6,0.5943684270044104,0.004800873462000352
2022-12-14 08,0.0284227235231059,0.6,0.5943684270044104,0.0009309780826694032
2022-12-14 09,0.0204916844003673,0.3,0.2971842135022052,0.0010825414456608687
2022-12-14 10,0.0274352538833932,0.6,0.5943684270044104,0.0006551444274096636
2022-12-14 11,0.020808087065182,0.3,0.2971842135022052,0.0012450478278093384
2022-12-14 12,0.0176964965455229,0.3,0.2971842135022052,0.00022888696770183712
2022-12-14 13,0.025547879524263,0.6,0.5943684270044104,0.00030031485776189405
2022-12-14 14,0.0209780841046457,0.3,0.2971842135022052,0.0013389684238645065
2022-12-14 15,0.0209016286111045,0.3,0.2971842135022052,0.0012961462593606861
2022-12-14 16,0.0251670507401613,0.6,0.5943684270044104,0.0002514445298270937
2022-12-14 17,0.0249804348273931,0.6,0.5943684270044104,0.00022984157725938864
2022-12-14 18,0.0228564440723575,0.3,0.2971842135022052,0.0027119205302003277
2022-12-14 19,0.0195986025186386,0.3,0.2971842135022052,0.0007046851558482879
2022-12-14 20,0.0182345249778238,0.3,0.2971842135022052,0.00032539897259579103
2022-12-14 21,0.0299760362657816,0.6,0.5943684270044104,0.0015176362569150098
2022-12-14 22,0.020937395132611,0.3,0.2971842135022052,0.0013160598152369756
2022-12-14 23,0.0316796769307335,0.6,0.5943684270044104,0.0024069411415864246
2022-12-15 00,0.0209009618644155,0.3,0.2971842135022052,0.001295777018254297
2022-12-15 01,0.0480717103535758,0.8999999999999999,0.8915526405066154,0.010164755015469443
2022-12-15 02,0.0222577300496367,0.3,0.2971842135022052,0.0022046065593439687
2022-12-15 03,0.0217878693104717,0.3,0.2971842135022052,0.001853140541362541
2022-12-15 04,0.0324400545554138,0.6,0.5943684270044104,0.002894845020680004
