Hour,sigma_i,r_LinProv,r_Lin,p2
2022-12-30 03,0.0260747750387036,0.4697804921609983,0.4697804921609983,0.0012375396717080537
2022-12-30 04,0.0831369315750231,1.4978502623358165,1.4978502623358165,0.03694445454558086
2022-12-30 05,0.0325298214366475,0.586078901993758,0.586078901993758,0.0031152085072744867
2022-12-30 06,0.0310914878955724,0.5601649281314728,0.5601649281314728,0.0026159412882026194
2022-12-30 07,0.049390086067097,0.8898446451037335,0.8898446451037335,0.011822003977258768
2022-12-30 08,0.0357865792244038,0.6447548167086635,0.6447548167086635,0.00440803519047275
2022-12-30 09,0.0296648385389408,0.5344614643084965,0.5344614643084965,0.002165952713896157
2022-12-30 10,0.029149112443232,0.525169799904768,0.525169799904768,0.002014546998905914
2022-12-30 11,0.0273891860612903,0.49346179549635094,0.49346179549635094,0.0015433843823640238
2022-12-30 12,0.0269597021700792,0.4857239280175754,0.4857239280175754,0.0014391237803410906
2022-12-30 13,0.030213485377261,0.5443462507101456,0.5443462507101456,0.0023336117599575337
2022-12-30 14,0.0426113375038002,0.7677142017317641,0.7677142017317641,0.00777152403724637
2022-12-30 15,0.0326762422787353,0.5887169172846487,0.5887169172846487,0.003168555511034113
2022-12-30 16,0.028925865409638,0.5211476328425556,0.5211476328425556,0.0019508755470027785
2022-12-30 17,0.053676391533366,0.9670695756547102,0.9670695756547102,0.014659791832378422
2022-12-30 18,0.0323868331647256,0.583502730170338,0.583502730170338,0.003063558019958528
2022-12-30 19,0.0361391395194353,0.6511067775087273,0.6511067775087273,0.004560937465105029
2022-12-30 20,0.0448372262709007,0.8078172944315851,0.8078172944315851,0.00903347503286049
2022-12-30 21,0.0321353304335659,0.5789714896649584,0.5789714896649584,0.002973782847212237
2022-12-30 22,0.0321341580127923,0.5789503665524013,0.5789503665524013,0.0029733675585069046
2022-12-30 23,0.0389197568037739,0.701204228183144,0.701204228183144,0.005849952066894065
2022-12-31 00,0.040044277062237,0.7214643331958112,0.7214643331958112,0.006411129141313404
2022-12-31 01,0.0480850419239464,0.8663321016991942,0.8663321016991942,0.010996622893785644
2022-12-31 02,0.0446674758765385,0.8047589584079904,0.8047589584079904,0.008934718044828807
2022-12-31 03,0.051441703979544,0.92680795816032,0.92680795816032,0.013157443684199804
2022-12-31 04,0.0519493061547051,0.9359532566073907,0.9359532566073907,0.013494528752650704
2022-12-31 05,0.0286896815401578,0.5168923871393729,0.5168923871393729,0.0018847467837091049
