DateHour,Std F_rec,Std F_ori
2022-12-05 09,0.023603255474558413,0.024230983986448972
2022-12-05 10,0.02640529384539346,0.02710647740330712
2022-12-05 11,0.026508988466756776,0.027205327847678172
2022-12-05 12,0.022805134480533444,0.023400051032200813
2022-12-05 13,0.02925594703722275,0.030017830593217637
2022-12-05 14,0.029649992259407308,0.03042295622226683
2022-12-05 15,0.031106869369434947,0.03191447167441381
2022-12-05 16,0.028642805164124707,0.02938438570088787
2022-12-05 17,0.02567039349483536,0.026334732718994742
2022-12-05 18,0.03586093693584421,0.03678442212559888
2022-12-05 19,0.024292337381788157,0.02491953123828951
2022-12-05 20,0.02319284315228861,0.02379521743600704
2022-12-05 21,0.053090509864436135,0.05446154600153501
2022-12-05 22,0.04121681452661762,0.0422883526323939
2022-12-05 23,0.034182608884019326,0.03507218465307494
2022-12-06 00,0.0299912250458339,0.030811447040213342
2022-12-06 01,0.03124245359058004,0.032122873620610275
2022-12-06 02,0.025510077147471062,0.026235813225954956
2022-12-06 03,0.06029638589167373,0.0619937125437773
2022-12-06 04,0.020515717788403543,0.021097341996241074
2022-12-06 05,0.03364958987528696,0.03459965408233524
2022-12-06 06,0.02709933033435471,0.02784961905024764
2022-12-06 07,0.028552184213884835,0.029316310449053425
2022-12-06 08,0.03157654136244509,0.032399754858356625
2022-12-06 09,0.027156355692986172,0.027862964141708423
2022-12-06 10,0.03714525122376109,0.0380831102663516
2022-12-06 11,0.039098573112384113,0.040084892626661074
2022-12-06 12,0.025353378381005966,0.02600686137317877
2022-12-06 13,0.028018330511935387,0.028738237252426375
2022-12-06 14,0.02552197394770799,0.026178471853129305
2022-12-06 15,0.027938300007179513,0.0286541104064376
2022-12-06 16,0.028212729111694167,0.028933014338633677
2022-12-06 17,0.026015445245797054,0.026676125443730228
2022-12-06 18,0.027313179303287083,0.028005981676394977
2022-12-06 19,0.0289385672613478,0.029672681547535024
2022-12-06 20,0.03481646963780146,0.03570168113174586
2022-12-06 21,0.03152845770911362,0.03233563801735606
2022-12-06 22,0.025218794590787116,0.02587080310638334
2022-12-06 23,0.030489608280049083,0.03130164417531582
2022-12-07 00,0.02711495845750414,0.027861820916058398
2022-12-07 01,0.03309324052580705,0.034015802820529656
2022-12-07 02,0.03823460146761744,0.03934746578336123
2022-12-07 03,0.03647282256849766,0.03755071184929917
2022-12-07 04,0.030956336459768134,0.031883200757531587
2022-12-07 05,0.04268082004161166,0.04393613736837535
2022-12-07 06,0.02772827869074563,0.028516403279788213
2022-12-07 07,0.04709517004429913,0.04837265740629609
2022-12-07 08,0.03223849357788008,0.033069277332606666
2022-12-07 09,0.02574773681759929,0.026399629883232797
2022-12-07 10,0.02630792820456674,0.026975280267280147
2022-12-07 11,0.0211917823349063,0.021730575024115437
2022-12-07 12,0.023268022448588898,0.02386559495521074
2022-12-07 13,0.032056021386689344,0.03288119531939476
2022-12-07 14,0.025181624100107193,0.025824516637068324
2022-12-07 15,0.0307274190952853,0.03150730108595009
2022-12-07 16,0.02547465865721561,0.026119546876095055
2022-12-07 17,0.023392030550140313,0.02398381704981799
2022-12-07 18,0.027825753440945355,0.028526368147860363
2022-12-07 19,0.02207515484008703,0.022638021769757537
2022-12-07 20,0.020374744477235526,0.02089488189322696
2022-12-07 21,0.02653239507230297,0.027212928636557335
2022-12-07 22,0.024537914358302253,0.025176636823372157
2022-12-07 23,0.027635875413296093,0.028375437016540758
2022-12-08 00,0.0275134689306492,0.028273486291227914
